Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T50 Queue;T50 Queue ConfInt;T50 Service;T50 Service ConfInt;T50 System;T50 System ConfInt;T50 Waiting;T50 Waiting ConfInt;T50 Throughput;T50 Throughput ConfInt;T50 RespTime;T50 RespTime ConfInt;T50 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Run Duration;Run Duration ConfInt;
2.92636;0.813416;[0.813249, 0.813583];2.34109;[2.34106, 2.34113];3.15451;[3.15431, 3.15471];0.34746;[0.347389, 0.347531];2.34104;[2.34101, 2.34107];1.34748;[1.34741, 1.34755];0;0.396521;[0.396453, 0.396588];0.585325;[0.585299, 0.585352];0.981846;[0.981752, 0.98194];0.677572;[0.677468, 0.677675];0.585208;[0.585188, 0.585229];1.67777;[1.67765, 1.67789];0;68.3926;[68.3913, 68.394];0.316074;[0.31606, 0.316087];1.20994;[1.2097, 1.21017];0.413477;[0.4134, 0.413555];1.41354;[1.41346, 1.41362];0;[0, 0];37.975;[37.9669, 37.9831]
3.21899;1.25032;[1.25011, 1.25053];2.57528;[2.57522, 2.57533];3.82559;[3.82533, 3.82586];0.485527;[0.485446, 0.485609];2.57518;[2.57514, 2.57522];1.48557;[1.48548, 1.48565];0;0.556793;[0.556713, 0.556873];0.643763;[0.643737, 0.643789];1.20056;[1.20045, 1.20066];0.864937;[0.864823, 0.865052];0.643738;[0.643718, 0.643758];1.86498;[1.86485, 1.8651];0;65.2366;[65.2353, 65.2379];0.347634;[0.347621, 0.347647];1.80711;[1.80682, 1.8074];0.561404;[0.561316, 0.561492];1.56144;[1.56135, 1.56153];0;[0, 0];38.125;[38.1078, 38.1422]
3.51162;1.89986;[1.89941, 1.9003];2.80916;[2.8091, 2.80921];4.70902;[4.70851, 4.70952];0.676343;[0.676187, 0.676499];2.80902;[2.80898, 2.80906];1.67639;[1.67624, 1.67655];0;0.776441;[0.776294, 0.776589];0.702221;[0.702194, 0.702247];1.47866;[1.47849, 1.47884];1.10566;[1.10546, 1.10586];0.702244;[0.702227, 0.702261];2.10562;[2.1054, 2.10584];0;62.0798;[62.0785, 62.0811];0.379202;[0.379189, 0.379215];2.6763;[2.67571, 2.67689];0.762205;[0.76204, 0.76237];1.76224;[1.76207, 1.76241];0;[0, 0];38.725;[38.6991, 38.7509]
3.80424;2.87699;[2.87632, 2.87765];3.04356;[3.04351, 3.04362];5.92055;[5.91983, 5.92128];0.945313;[0.945095, 0.945531];3.04342;[3.04338, 3.04347];1.94536;[1.94514, 1.94558];0;1.08492;[1.08471, 1.08514];0.760624;[0.760589, 0.760659];1.84555;[1.8453, 1.8458];1.42625;[1.42599, 1.4265];0.760683;[0.760658, 0.760709];2.42617;[2.4259, 2.42644];0;58.9252;[58.9235, 58.927];0.410748;[0.41073, 0.410765];3.96191;[3.96103, 3.96278];1.04148;[1.04126, 1.04171];2.0415;[2.04127, 2.04174];0;[0, 0];39;[39, 39]
4.09687;4.40605;[4.40459, 4.40751];3.27726;[3.27719, 3.27733];7.68332;[7.68179, 7.68485];1.34443;[1.34398, 1.34488];3.27728;[3.27722, 3.27733];2.34442;[2.34397, 2.34488];0;1.53837;[1.53792, 1.53881];0.819365;[0.819327, 0.819404];2.35773;[2.35725, 2.35822];1.87766;[1.87715, 1.87817];0.819298;[0.81927, 0.819326];2.87774;[2.87721, 2.87827];0;55.7545;[55.7525, 55.7564];0.442455;[0.442436, 0.442475];5.94442;[5.94251, 5.94632];1.45107;[1.45061, 1.45153];2.45108;[2.45061, 2.45155];0;[0, 0];39.55;[39.5242, 39.5758]
4.38949;6.89933;[6.8972, 6.90146];3.51178;[3.5117, 3.51186];10.4111;[10.4089, 10.4133];1.96475;[1.96414, 1.96537];3.51156;[3.5115, 3.51162];2.96481;[2.9642, 2.96543];0;2.23833;[2.23769, 2.23897];0.877804;[0.877766, 0.877843];3.11613;[3.11546, 3.11681];2.54998;[2.54931, 2.55066];0.87778;[0.877751, 0.877808];3.55001;[3.54932, 3.5507];0;52.598;[52.5961, 52.5999];0.47402;[0.474001, 0.474039];9.13766;[9.1349, 9.14042];2.08179;[2.08116, 2.08241];3.08184;[3.08121, 3.08248];0;[0, 0];39.675;[39.6507, 39.6993]
4.68212;11.3957;[11.3915, 11.3998];3.74549;[3.74541, 3.74557];15.1411;[15.1369, 15.1454];3.04253;[3.04141, 3.04364];3.74546;[3.74541, 3.74551];4.04254;[4.04142, 4.04366];0;3.44736;[3.44617, 3.44854];0.936492;[0.936446, 0.936537];4.38385;[4.38262, 4.38508];3.68146;[3.68026, 3.68266];0.936408;[0.936381, 0.936436];4.68155;[4.68033, 4.68277];0;49.4299;[49.4276, 49.4322];0.505701;[0.505678, 0.505724];14.843;[14.8377, 14.8483];3.17032;[3.16919, 3.17145];4.17035;[4.1692, 4.17149];0;[0, 0];39.925;[39.9113, 39.9387]
4.97475;20.8462;[20.8343, 20.858];3.97953;[3.97944, 3.97963];24.8257;[24.8138, 24.8376];5.23843;[5.23545, 5.24142];3.97947;[3.97941, 3.97952];6.23845;[6.23546, 6.24144];0;5.90095;[5.89775, 5.90415];0.995098;[0.995056, 0.995139];6.89605;[6.89281, 6.89929];5.93036;[5.92726, 5.93346];0.995038;[0.995008, 0.995067];6.93042;[6.92731, 6.93353];0;46.2656;[46.2635, 46.2677];0.537344;[0.537323, 0.537365];26.7471;[26.7321, 26.7621];5.37684;[5.37383, 5.37985];6.37686;[6.37385, 6.37988];0;[0, 0];40.6;[40.5746, 40.6254]
5.26737;50.4634;[50.4139, 50.513];4.21367;[4.21359, 4.21376];54.6771;[54.6275, 54.7267];11.9767;[11.9649, 11.9884];4.21348;[4.21341, 4.21355];12.9767;[12.965, 12.9885];0;13.4026;[13.39, 13.4153];1.05352;[1.05348, 1.05357];14.4562;[14.4434, 14.4689];12.7233;[12.7114, 12.7352];1.05339;[1.05336, 1.05342];13.7234;[13.7115, 13.7353];0;43.1102;[43.1078, 43.1125];0.568898;[0.568875, 0.568922];63.8661;[63.8039, 63.9283];12.126;[12.1142, 12.1378];13.126;[13.1143, 13.1378];0;[0, 0];40.625;[40.5999, 40.6501]
5.56;178842;[172716, 184968];4.44433;[4.44415, 4.44452];178847;[172721, 184972];40243.6;[38865.3, 41621.8];4.44399;[4.44382, 4.44417];40244.6;[38866.3, 41622.8];0;44712.8;[43181.5, 46244.2];1.11112;[1.11111, 1.11113];44713.9;[43182.6, 46245.3];40244.3;[38866.1, 41622.6];1.11104;[1.11101, 1.11107];40245.3;[38867.1, 41623.6];0;39.9995;[39.9991, 40];0.600005;[0.6, 0.600009];223555;[215898, 231212];40243.7;[38865.5, 41622];40244.7;[38866.5, 41623];0;[0, 0];41.9;[41.8569, 41.9431]
